Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,83556,-,-,-,34.05,-118.26,-8,98,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Wind Direction,Relative Humidity,Temperature,Pressure,
2019,1,1,0,30,0,0,0,0,0,0,0,-4.7,0.14,4,47,49.75,4.9,991,N/A
2019,1,1,1,30,0,0,0,0,0,0,0,-4.800000000000001,0.14,3.9000000000000004,45,50.6,4.6000000000000005,991,N/A
2019,1,1,2,30,0,0,0,0,0,0,0,-5,0.14,4.2,46,50.1,4.5,991,N/A
2019,1,1,3,30,0,0,0,0,0,0,0,-5.7,0.14,4.4,47,47.83,4.4,991,N/A
2019,1,1,4,30,0,0,0,0,0,0,0,-5.800000000000001,0.14,4.3,47,48.07,4.2,992,N/A
2019,1,1,5,30,0,0,0,0,0,0,0,-5.800000000000001,0.14,4.1000000000000005,47,48.75,4,993,N/A
2019,1,1,6,30,0,0,0,0,0,0,4,-5.800000000000001,0.14,4.2,47,47.67,4.3,994,N/A
2019,1,1,7,30,27,121,37,28,477,69,4,-5.7,0.14,4.9,47,42.550000000000004,6.1000000000000005,995,N/A
2019,1,1,8,30,53,737,242,48,788,250,0,-5.800000000000001,0.14,6.1000000000000005,47,35.46,8.6,996,N/A
2019,1,1,9,30,60,906,417,60,906,417,0,-6.9,0.14,6.800000000000001,47,28.55,10.600000000000001,996,N/A
2019,1,1,10,30,67,959,538,67,959,538,0,-7.800000000000001,0.14,6.7,44,24.46,11.9,996,N/A
2019,1,1,11,30,71,980,600,71,980,600,0,-8.3,0.14,6.4,40,22.48,12.600000000000001,995,N/A
2019,1,1,12,30,73,974,596,73,974,596,0,-8.4,0.14,6.2,36,21.84,12.9,995,N/A
2019,1,1,13,30,72,940,526,72,940,526,0,-8.4,0.14,5.9,35,21.93,12.9,994,N/A
2019,1,1,14,30,65,873,398,65,873,398,0,-8.3,0.14,5.300000000000001,34,22.64,12.5,994,N/A
2019,1,1,15,30,52,734,227,52,734,227,0,-7.9,0.14,4.9,33,23.79,12.200000000000001,994,N/A
2019,1,1,16,30,26,368,51,26,368,51,0,-6,0.14,3.1,32,35.81,8.3,995,N/A
2019,1,1,17,30,0,0,0,0,0,0,0,-5.4,0.14,2.8000000000000003,32,41.62,6.7,995,N/A
2019,1,1,18,30,0,0,0,0,0,0,0,-5.300000000000001,0.14,2.7,33,44.45,5.9,996,N/A
2019,1,1,19,30,0,0,0,0,0,0,0,-5.300000000000001,0.14,2.5,34,45.33,5.6000000000000005,996,N/A
2019,1,1,20,30,0,0,0,0,0,0,0,-5.2,0.14,2.3000000000000003,37,45.74,5.6000000000000005,996,N/A
2019,1,1,21,30,0,0,0,0,0,0,7,-5.2,0.14,2.2,39,45.54,5.7,996,N/A
2019,1,1,22,30,0,0,0,0,0,0,7,-5.2,0.14,2.1,40,45.19,5.800000000000001,996,N/A
2019,1,1,23,30,0,0,0,0,0,0,7,-5.2,0.14,2,38,44.96,5.9,995,N/A
2019,1,2,0,30,0,0,0,0,0,0,0,-5.2,0.14,2,34,44.33,6,995,N/A
2019,1,2,1,30,0,0,0,0,0,0,0,-5.7,0.14,1.9000000000000001,27,43.1,5.9,995,N/A
2019,1,2,2,30,0,0,0,0,0,0,0,-6.300000000000001,0.14,1.9000000000000001,20,41.87,5.7,995,N/A
2019,1,2,3,30,0,0,0,0,0,0,0,-6.4,0.14,2.1,18,41.94,5.5,995,N/A
2019,1,2,4,30,0,0,0,0,0,0,0,-6.4,0.14,2.2,20,42.230000000000004,5.4,995,N/A
2019,1,2,5,30,0,0,0,0,0,0,0,-6.6000000000000005,0.14,2,21,41.74,5.4,996,N/A
2019,1,2,6,30,0,0,0,0,0,0,3,-7,0.14,1.7000000000000002,23,39.050000000000004,5.9,997,N/A
2019,1,2,7,30,26,168,40,25,474,66,3,-6.4,0.14,2,30,35.17,8.1,998,N/A
2019,1,2,8,30,47,722,232,44,774,242,0,-6.4,0.14,2.9000000000000004,43,29.16,10.9,999,N/A
2019,1,2,9,30,56,885,405,56,885,405,0,-8.700000000000001,0.14,3.4000000000000004,53,21.32,13,998,N/A
2019,1,2,10,30,66,930,523,66,930,523,0,-8.9,0.14,3.2,58,18.94,14.5,997,N/A
2019,1,2,11,30,71,948,584,71,948,584,0,-8.9,0.14,2.5,63,17.73,15.600000000000001,996,N/A
2019,1,2,12,30,75,939,580,75,939,580,0,-8.5,0.14,1.5,74,17.39,16.3,996,N/A
2019,1,2,13,30,75,904,513,75,904,513,0,-7.300000000000001,0.14,0.7000000000000001,94,19.19,16.3,996,N/A
2019,1,2,14,30,70,830,388,70,830,388,0,-6,0.14,0.5,169,22.18,15.600000000000001,996,N/A
2019,1,2,15,30,56,681,220,56,681,220,0,-3.2,0.14,0.7000000000000001,229,28.310000000000002,15,996,N/A
2019,1,2,16,30,27,299,48,27,299,48,0,-0.8,0.14,1,245,43.37,11.200000000000001,997,N/A
2019,1,2,17,30,0,0,0,0,0,0,0,-1.1,0.14,0.8,261,46.14,9.9,997,N/A
2019,1,2,18,30,0,0,0,0,0,0,0,-0.7000000000000001,0.14,0.7000000000000001,291,49.57,9.3,998,N/A
2019,1,2,19,30,0,0,0,0,0,0,0,-0.8,0.14,0.7000000000000001,332,51.11,8.8,998,N/A
2019,1,2,20,30,0,0,0,0,0,0,0,-1,0.14,0.9,185,51.52,8.4,998,N/A
2019,1,2,21,30,0,0,0,0,0,0,0,-1.3,0.14,1.2000000000000002,24,52.81,7.7,998,N/A
2019,1,2,22,30,0,0,0,0,0,0,0,-1.7000000000000002,0.14,1.5,38,53.63,7.1000000000000005,997,N/A
2019,1,2,23,30,0,0,0,0,0,0,0,-2,0.14,1.8,46,54.78,6.5,997,N/A
2019,1,3,0,30,0,0,0,0,0,0,0,-2.4000000000000004,0.14,2.1,49,54.660000000000004,6.1000000000000005,997,N/A
2019,1,3,1,30,0,0,0,0,0,0,0,-2.9000000000000004,0.14,2.3000000000000003,48,53.06,5.9,997,N/A
2019,1,3,2,30,0,0,0,0,0,0,0,-3.2,0.14,2.4000000000000004,47,52.64,5.7,996,N/A
2019,1,3,3,30,0,0,0,0,0,0,0,-3.3000000000000003,0.14,2.5,46,52.94,5.6000000000000005,996,N/A
2019,1,3,4,30,0,0,0,0,0,0,0,-3.2,0.14,2.7,48,53.4,5.5,996,N/A
2019,1,3,5,30,0,0,0,0,0,0,0,-3.3000000000000003,0.14,2.7,50,53.54,5.4,997,N/A
2019,1,3,6,30,0,0,0,0,0,0,0,-3.4000000000000004,0.14,2.9000000000000004,53,50.5,6.1000000000000005,997,N/A
2019,1,3,7,30,28,453,67,28,453,67,0,-3.2,0.14,3.5,57,43.7,8.5,998,N/A
2019,1,3,8,30,50,764,245,50,764,245,0,-3.1,0.14,3.7,67,35.32,11.700000000000001,998,N/A
2019,1,3,9,30,61,887,411,61,887,411,0,-4.1000000000000005,0.14,3,92,27.810000000000002,14.3,997,N/A
2019,1,3,10,30,67,944,532,67,944,532,0,-5.2,0.14,2.1,124,22.46,16.3,996,N/A
2019,1,3,11,30,70,966,594,70,966,594,0,-5.300000000000001,0.14,1.6,149,20.93,17.3,995,N/A
2019,1,3,12,30,71,960,589,71,960,589,0,-4.6000000000000005,0.14,1.4000000000000001,163,21.22,17.900000000000002,994,N/A
2019,1,3,13,30,69,927,520,69,927,520,0,-3.7,0.14,1.3,171,22.62,18,993,N/A
2019,1,3,14,30,63,863,395,63,863,395,0,-2.9000000000000004,0.14,1.2000000000000002,187,24.68,17.5,993,N/A
2019,1,3,15,30,50,727,227,50,727,227,0,0.1,0.14,1.1,199,31.91,17,993,N/A
2019,1,3,16,30,26,372,53,26,372,53,0,1.7000000000000002,0.14,0.8,239,45.14,13.3,993,N/A
2019,1,3,17,30,0,0,0,0,0,0,0,1.1,0.14,0.7000000000000001,281,48.34,11.700000000000001,994,N/A
2019,1,3,18,30,0,0,0,0,0,0,0,1.7000000000000002,0.14,0.7000000000000001,324,54.050000000000004,10.600000000000001,994,N/A
2019,1,3,19,30,0,0,0,0,0,0,0,1.8,0.14,0.7000000000000001,177,57.56,9.8,995,N/A
2019,1,3,20,30,0,0,0,0,0,0,0,1.6,0.14,0.8,22,58.97,9.200000000000001,995,N/A
2019,1,3,21,30,0,0,0,0,0,0,0,1.1,0.14,0.9,39,58.58,8.8,994,N/A
2019,1,3,22,30,0,0,0,0,0,0,0,0.6000000000000001,0.14,1,45,58.07,8.4,994,N/A
2019,1,3,23,30,0,0,0,0,0,0,0,0.2,0.14,1.1,43,57.83,8,993,N/A
2019,1,4,0,30,0,0,0,0,0,0,0,-0.2,0.14,1.3,41,57.45,7.7,993,N/A
2019,1,4,1,30,0,0,0,0,0,0,0,-0.6000000000000001,0.14,1.3,45,55.980000000000004,7.6000000000000005,992,N/A
2019,1,4,2,30,0,0,0,0,0,0,0,-1.1,0.14,1.3,52,53.9,7.6000000000000005,992,N/A
2019,1,4,3,30,0,0,0,0,0,0,0,-1.5,0.14,1.3,60,52.550000000000004,7.6000000000000005,992,N/A
2019,1,4,4,30,0,0,0,0,0,0,0,-1.7000000000000002,0.14,1.5,70,52.18,7.5,992,N/A
2019,1,4,5,30,0,0,0,0,0,0,0,-1.8,0.14,1.6,80,51.92,7.5,992,N/A
2019,1,4,6,30,0,0,0,0,0,0,0,-1.8,0.14,1.6,87,50.160000000000004,7.9,992,N/A
2019,1,4,7,30,28,223,47,29,357,60,0,-1.1,0.14,1.5,91,44.92,10.3,993,N/A
2019,1,4,8,30,58,683,233,58,683,233,0,0.6000000000000001,0.14,1.7000000000000002,105,41.19,13.5,993,N/A
2019,1,4,9,30,69,837,400,69,837,400,0,0.9,0.14,2.1,125,36.730000000000004,15.600000000000001,993,N/A
2019,1,4,10,30,71,921,525,71,921,525,0,1.8,0.14,2.3000000000000003,135,35.81,17.1,991,N/A
2019,1,4,11,30,75,943,587,75,943,587,0,1.5,0.14,2.4000000000000004,147,32.52,18.2,990,N/A
2019,1,4,12,30,76,932,581,76,932,581,0,0.9,0.14,2.5,163,30.150000000000002,18.8,989,N/A
2019,1,4,13,30,74,898,513,74,898,513,0,0.4,0.14,2.6,173,29.28,18.7,989,N/A
2019,1,4,14,30,68,832,390,68,832,390,0,0.30000000000000004,0.14,2.4000000000000004,180,30.95,17.7,989,N/A
2019,1,4,15,30,53,694,224,53,694,224,0,1.5,0.14,2.2,184,35.27,17,989,N/A
2019,1,4,16,30,27,337,52,27,337,52,0,4.1000000000000005,0.14,1,214,56.89,12.4,990,N/A
2019,1,4,17,30,0,0,0,0,0,0,0,4.6000000000000005,0.14,0.5,251,63.870000000000005,11.200000000000001,990,N/A
2019,1,4,18,30,0,0,0,0,0,0,0,5.7,0.14,0.5,165,71.16,10.700000000000001,990,N/A
2019,1,4,19,30,0,0,0,0,0,0,0,6.2,0.14,1,66,74.47,10.5,990,N/A
2019,1,4,20,30,0,0,0,0,0,0,7,6,0.14,1.3,88,74.08,10.4,990,N/A
2019,1,4,21,30,0,0,0,0,0,0,7,5.6000000000000005,0.14,1.5,103,73.15,10.200000000000001,989,N/A
2019,1,4,22,30,0,0,0,0,0,0,7,5.2,0.14,1.6,118,71.85000000000001,10.100000000000001,989,N/A
2019,1,4,23,30,0,0,0,0,0,0,7,5.1000000000000005,0.14,1.6,135,71.2,10.100000000000001,989,N/A
2019,1,5,0,30,0,0,0,0,0,0,7,5.4,0.14,1.5,146,72.79,10.100000000000001,989,N/A
2019,1,5,1,30,0,0,0,0,0,0,7,5.9,0.14,1.5,149,75.09,10.100000000000001,989,N/A
2019,1,5,2,30,0,0,0,0,0,0,7,6.2,0.14,1.4000000000000001,148,75.98,10.200000000000001,988,N/A
2019,1,5,3,30,0,0,0,0,0,0,7,6.300000000000001,0.14,1.3,146,76.96000000000001,10.200000000000001,988,N/A
2019,1,5,4,30,0,0,0,0,0,0,8,6.5,0.14,1.4000000000000001,147,78.29,10.100000000000001,988,N/A
2019,1,5,5,30,0,0,0,0,0,0,6,6.7,0.14,1.4000000000000001,150,79.58,10.100000000000001,988,N/A
2019,1,5,6,30,0,0,0,0,0,0,7,7.1000000000000005,0.14,1.4000000000000001,147,80.89,10.200000000000001,989,N/A
2019,1,5,7,30,13,0,13,32,279,56,6,7.6000000000000005,0.14,1.5,141,80.92,10.700000000000001,989,N/A
2019,1,5,8,30,46,1,46,65,600,218,8,8.200000000000001,0.14,2.1,140,78.54,11.8,990,N/A
2019,1,5,9,30,155,83,188,83,728,371,8,8.8,0.14,3.2,149,75.92,12.9,990,N/A
2019,1,5,10,30,183,31,198,98,780,484,8,9.4,0.14,4.2,161,77.5,13.3,989,N/A
2019,1,5,11,30,214,38,235,103,806,542,8,10,0.14,4.5,169,80.75,13.200000000000001,989,N/A
2019,1,5,12,30,113,0,113,105,800,540,6,10.200000000000001,0.14,4.4,173,83.17,13,988,N/A
2019,1,5,13,30,89,0,89,101,768,478,6,10.4,0.14,4.1000000000000005,171,85.39,12.8,988,N/A
2019,1,5,14,30,74,0,74,81,730,366,8,10.600000000000001,0.14,3.7,165,87.5,12.600000000000001,988,N/A
2019,1,5,15,30,29,0,29,61,609,212,8,10.8,0.14,3.5,162,88.93,12.600000000000001,988,N/A
2019,1,5,16,30,10,0,10,31,266,51,8,11,0.14,3.4000000000000004,158,90.99,12.4,988,N/A
2019,1,5,17,30,0,0,0,0,0,0,8,11.100000000000001,0.14,3.7,159,91.58,12.4,988,N/A
2019,1,5,18,30,0,0,0,0,0,0,8,11.200000000000001,0.14,4,159,91.89,12.5,988,N/A
2019,1,5,19,30,0,0,0,0,0,0,8,11.4,0.14,4.2,163,92.31,12.600000000000001,988,N/A
2019,1,5,20,30,0,0,0,0,0,0,4,11.5,0.14,4,175,93.75,12.5,988,N/A
2019,1,5,21,30,0,0,0,0,0,0,8,11.5,0.14,3.6,191,94.27,12.4,988,N/A
2019,1,5,22,30,0,0,0,0,0,0,8,11.3,0.14,3.1,204,95.47,12,988,N/A
2019,1,5,23,30,0,0,0,0,0,0,8,10.700000000000001,0.14,2.6,220,95.11,11.5,988,N/A
2019,1,6,0,30,0,0,0,0,0,0,8,9.9,0.14,2.2,243,93.24,10.9,988,N/A
2019,1,6,1,30,0,0,0,0,0,0,8,9.200000000000001,0.14,1.9000000000000001,263,93.26,10.200000000000001,989,N/A
2019,1,6,2,30,0,0,0,0,0,0,4,8.6,0.14,1.7000000000000002,280,92.60000000000001,9.700000000000001,989,N/A
2019,1,6,3,30,0,0,0,0,0,0,4,8.200000000000001,0.14,1.6,294,91.5,9.5,989,N/A
2019,1,6,4,30,0,0,0,0,0,0,0,7.9,0.14,1.4000000000000001,304,89.98,9.5,990,N/A
2019,1,6,5,30,0,0,0,0,0,0,0,7.7,0.14,1.3,310,89,9.4,991,N/A
2019,1,6,6,30,0,0,0,0,0,0,0,7.4,0.14,1.2000000000000002,315,86.82000000000001,9.5,991,N/A
2019,1,6,7,30,24,65,30,31,335,60,2,7.5,0.14,1.2000000000000002,318,84,10.100000000000001,992,N/A
2019,1,6,8,30,84,19,89,59,672,231,4,7.800000000000001,0.14,1.6,315,80.59,11,993,N/A
2019,1,6,9,30,103,632,353,72,809,393,0,7.6000000000000005,0.14,2,304,73.33,12.200000000000001,993,N/A
2019,1,6,10,30,113,728,474,82,865,511,0,6.800000000000001,0.14,2.4000000000000004,285,63.38,13.600000000000001,993,N/A
2019,1,6,11,30,118,751,528,84,897,574,0,5.6000000000000005,0.14,2.9000000000000004,268,55.27,14.5,992,N/A
2019,1,6,12,30,171,461,422,85,890,570,2,5.300000000000001,0.14,3.6,260,53.15,14.700000000000001,992,N/A
2019,1,6,13,30,160,154,236,82,854,503,2,5.4,0.14,3.9000000000000004,255,54.5,14.5,992,N/A
2019,1,6,14,30,94,340,227,73,785,381,2,5.9,0.14,3.7,250,58.980000000000004,13.8,993,N/A
2019,1,6,15,30,59,641,220,59,641,220,0,6.7,0.14,3.6,248,64.1,13.3,993,N/A
2019,1,6,16,30,30,287,53,30,287,53,0,7.6000000000000005,0.14,1.8,250,79.73,11,994,N/A
2019,1,6,17,30,0,0,0,0,0,0,0,8.3,0.14,1.3,231,87.69,10.3,995,N/A
2019,1,6,18,30,0,0,0,0,0,0,7,8.8,0.14,1.4000000000000001,204,89.67,10.4,995,N/A
2019,1,6,19,30,0,0,0,0,0,0,4,9,0.14,1.8,189,90.44,10.5,996,N/A
2019,1,6,20,30,0,0,0,0,0,0,4,9.200000000000001,0.14,2.2,186,91.22,10.600000000000001,996,N/A
2019,1,6,21,30,0,0,0,0,0,0,4,9.4,0.14,2.6,187,91.48,10.700000000000001,996,N/A
2019,1,6,22,30,0,0,0,0,0,0,4,9.5,0.14,2.8000000000000003,188,91.31,10.9,996,N/A
2019,1,6,23,30,0,0,0,0,0,0,4,9.8,0.14,3.1,190,91.69,11.100000000000001,995,N/A
2019,1,7,0,30,0,0,0,0,0,0,4,10.100000000000001,0.14,3.3000000000000003,190,92.03,11.3,995,N/A
2019,1,7,1,30,0,0,0,0,0,0,4,10.200000000000001,0.14,3.5,190,92.56,11.4,995,N/A
2019,1,7,2,30,0,0,0,0,0,0,4,10.3,0.14,3.4000000000000004,187,92.55,11.5,995,N/A
2019,1,7,3,30,0,0,0,0,0,0,4,10.4,0.14,3.3000000000000003,179,92.79,11.5,995,N/A
2019,1,7,4,30,0,0,0,0,0,0,4,10.3,0.14,3.2,167,93.21000000000001,11.4,996,N/A
2019,1,7,5,30,0,0,0,0,0,0,4,10.200000000000001,0.14,3.2,155,93.22,11.3,996,N/A
2019,1,7,6,30,0,0,0,0,0,0,4,10.100000000000001,0.14,3.2,144,92.3,11.3,997,N/A
2019,1,7,7,30,17,0,17,34,244,55,4,9.9,0.14,3.1,134,90.61,11.4,998,N/A
2019,1,7,8,30,73,0,73,68,582,217,4,9.8,0.14,3.1,130,87.69,11.8,998,N/A
2019,1,7,9,30,166,125,216,88,709,370,3,9.9,0.14,3,131,84.57000000000001,12.4,998,N/A
2019,1,7,10,30,196,41,216,109,751,482,3,10,0.14,2.8000000000000003,134,81.89,13,998,N/A
2019,1,7,11,30,218,36,238,112,784,542,3,10,0.14,2.6,136,79.47,13.5,997,N/A
2019,1,7,12,30,208,245,342,108,793,542,2,10,0.14,2.4000000000000004,141,77.04,14,996,N/A
2019,1,7,13,30,200,298,348,100,771,482,2,10,0.14,2,151,75.52,14.3,996,N/A
2019,1,7,14,30,103,589,336,88,710,368,0,10,0.14,1.5,163,74.43,14.5,996,N/A
2019,1,7,15,30,55,38,65,67,572,212,3,10,0.14,1.2000000000000002,168,74.63,14.4,996,N/A
2019,1,7,16,30,31,252,52,31,252,52,0,10,0.14,0.5,268,80.73,13.200000000000001,996,N/A
2019,1,7,17,30,0,0,0,0,0,0,0,9.700000000000001,0.14,0.9,179,84.83,12.200000000000001,996,N/A
2019,1,7,18,30,0,0,0,0,0,0,0,9.600000000000001,0.14,1.2000000000000002,15,89.54,11.3,996,N/A
2019,1,7,19,30,0,0,0,0,0,0,0,9.5,0.14,1.3,27,91.48,10.8,996,N/A
2019,1,7,20,30,0,0,0,0,0,0,0,9.3,0.14,1.3,41,92.51,10.5,996,N/A
2019,1,7,21,30,0,0,0,0,0,0,0,9.200000000000001,0.14,1.4000000000000001,54,92.08,10.4,996,N/A
2019,1,7,22,30,0,0,0,0,0,0,0,9,0.14,1.4000000000000001,61,92.15,10.200000000000001,995,N/A
2019,1,7,23,30,0,0,0,0,0,0,7,8.8,0.14,1.5,60,91.47,10.100000000000001,995,N/A
2019,1,8,0,30,0,0,0,0,0,0,0,8.5,0.14,1.7000000000000002,58,89.35000000000001,10.200000000000001,995,N/A
2019,1,8,1,30,0,0,0,0,0,0,0,8.3,0.14,1.7000000000000002,57,86.10000000000001,10.5,995,N/A
2019,1,8,2,30,0,0,0,0,0,0,7,7.9,0.14,1.8,58,83.01,10.700000000000001,995,N/A
2019,1,8,3,30,0,0,0,0,0,0,7,7.6000000000000005,0.14,2,60,80.75,10.8,994,N/A
2019,1,8,4,30,0,0,0,0,0,0,7,7.5,0.14,2.2,63,79.36,10.9,994,N/A
2019,1,8,5,30,0,0,0,0,0,0,7,7.4,0.14,2.2,66,79.33,10.8,994,N/A
2019,1,8,6,30,0,0,0,0,0,0,4,7.300000000000001,0.14,2.2,69,77.32000000000001,11.100000000000001,994,N/A
2019,1,8,7,30,25,119,35,31,318,58,7,7.6000000000000005,0.14,2.4000000000000004,69,72.09,12.5,995,N/A
2019,1,8,8,30,81,399,184,60,643,225,7,8.4,0.14,2.7,70,66.88,14.5,995,N/A
2019,1,8,9,30,124,498,322,75,781,386,7,8.700000000000001,0.14,2.7,85,60.83,16.3,995,N/A
2019,1,8,10,30,179,450,403,84,845,505,7,8.6,0.14,2.6,114,54.61,17.900000000000002,995,N/A
2019,1,8,11,30,199,474,460,88,873,568,7,7.9,0.14,2.8000000000000003,136,48.79,18.900000000000002,994,N/A
2019,1,8,12,30,206,448,452,88,874,568,7,7.6000000000000005,0.14,2.8000000000000003,147,46.44,19.400000000000002,993,N/A
2019,1,8,13,30,184,430,398,83,847,505,7,7.6000000000000005,0.14,2.8000000000000003,155,46.39,19.400000000000002,992,N/A
2019,1,8,14,30,141,407,303,75,780,385,7,7.800000000000001,0.14,2.3000000000000003,166,48.95,18.7,992,N/A
2019,1,8,15,30,89,318,171,59,642,224,7,8.8,0.14,1.9000000000000001,172,54.54,18.1,992,N/A
2019,1,8,16,30,31,130,42,30,314,57,7,9.8,0.14,0.9,192,73.56,14.5,993,N/A
2019,1,8,17,30,0,0,0,0,0,0,7,9.9,0.14,0.7000000000000001,185,78.4,13.600000000000001,993,N/A
2019,1,8,18,30,0,0,0,0,0,0,7,10.4,0.14,0.7000000000000001,162,83.24,13.200000000000001,994,N/A
2019,1,8,19,30,0,0,0,0,0,0,7,10.600000000000001,0.14,0.8,139,86.71000000000001,12.8,994,N/A
2019,1,8,20,30,0,0,0,0,0,0,0,10.9,0.14,1,134,91.19,12.3,994,N/A
2019,1,8,21,30,0,0,0,0,0,0,7,11.3,0.14,1.1,138,95.26,12,995,N/A
2019,1,8,22,30,0,0,0,0,0,0,7,11.700000000000001,0.14,1.1,138,99.43,11.8,995,N/A
2019,1,8,23,30,0,0,0,0,0,0,7,11.8,0.14,1.1,130,100,11.8,994,N/A
2019,1,9,0,30,0,0,0,0,0,0,7,11.9,0.14,1.1,121,100,11.9,994,N/A
2019,1,9,1,30,0,0,0,0,0,0,0,12,0.14,1.1,116,100,12,994,N/A
2019,1,9,2,30,0,0,0,0,0,0,0,11.8,0.14,0.9,109,98.34,12.100000000000001,994,N/A
2019,1,9,3,30,0,0,0,0,0,0,0,11.600000000000001,0.14,0.9,101,97.64,12,994,N/A
2019,1,9,4,30,0,0,0,0,0,0,0,11.4,0.14,1,99,97.4,11.8,995,N/A
2019,1,9,5,30,0,0,0,0,0,0,0,11.200000000000001,0.14,1.1,101,97.83,11.5,995,N/A
2019,1,9,6,30,0,0,0,0,0,0,0,11,0.14,1.1,103,96.10000000000001,11.600000000000001,995,N/A
2019,1,9,7,30,32,306,58,32,306,58,0,10.9,0.14,1.1,104,88.41,12.8,996,N/A
2019,1,9,8,30,62,637,226,62,637,226,0,11.200000000000001,0.14,1.2000000000000002,126,78.97,14.8,996,N/A
2019,1,9,9,30,77,783,389,77,783,389,0,11.3,0.14,1.4000000000000001,160,71.21000000000001,16.5,996,N/A
2019,1,9,10,30,87,795,484,82,857,510,0,10.700000000000001,0.14,1.7000000000000002,176,63.410000000000004,17.7,995,N/A
2019,1,9,11,30,93,858,566,85,887,574,0,10.200000000000001,0.14,1.8,184,58.4,18.5,994,N/A
2019,1,9,12,30,201,474,463,84,889,575,7,9.9,0.14,2,201,56.42,18.8,993,N/A
2019,1,9,13,30,95,804,497,81,862,512,0,9.8,0.14,2.2,218,56.13,18.7,993,N/A
2019,1,9,14,30,74,795,392,74,795,392,0,9.700000000000001,0.14,2.5,231,58.42,18,993,N/A
2019,1,9,15,30,59,656,229,59,656,229,0,10,0.14,2.6,237,61.300000000000004,17.5,993,N/A
2019,1,9,16,30,33,232,53,32,312,59,0,10.9,0.15,2.6,264,82.28,13.9,994,N/A
2019,1,9,17,30,0,0,0,0,0,0,0,11.600000000000001,0.15,2.6,280,92.31,12.8,995,N/A
2019,1,9,18,30,0,0,0,0,0,0,0,11.8,0.15,2.1,296,95.81,12.5,995,N/A
2019,1,9,19,30,0,0,0,0,0,0,0,11.9,0.15,1.5,313,96.07000000000001,12.5,995,N/A
2019,1,9,20,30,0,0,0,0,0,0,7,11.700000000000001,0.15,1,338,94.53,12.600000000000001,995,N/A
2019,1,9,21,30,0,0,0,0,0,0,4,11.5,0.15,0.8,199,93.14,12.600000000000001,995,N/A
2019,1,9,22,30,0,0,0,0,0,0,7,11.3,0.15,0.8,55,93.29,12.4,994,N/A
2019,1,9,23,30,0,0,0,0,0,0,7,11.200000000000001,0.15,0.8,76,93.69,12.200000000000001,994,N/A
2019,1,10,0,30,0,0,0,0,0,0,7,11.100000000000001,0.15,0.7000000000000001,81,93.39,12.100000000000001,994,N/A
2019,1,10,1,30,0,0,0,0,0,0,0,10.9,0.15,0.5,56,92.96000000000001,12,994,N/A
2019,1,10,2,30,0,0,0,0,0,0,0,10.8,0.15,0.4,21,94.56,11.600000000000001,994,N/A
2019,1,10,3,30,0,0,0,0,0,0,0,10.600000000000001,0.15,0.6000000000000001,15,95.93,11.200000000000001,994,N/A
2019,1,10,4,30,0,0,0,0,0,0,0,10.3,0.15,0.9,27,97.32000000000001,10.700000000000001,994,N/A
2019,1,10,5,30,0,0,0,0,0,0,0,10,0.15,1.1,32,98.56,10.200000000000001,994,N/A
2019,1,10,6,30,0,0,0,0,0,0,0,9.700000000000001,0.15,1.2000000000000002,34,95.91,10.3,994,N/A
2019,1,10,7,30,32,241,53,33,305,59,0,9.700000000000001,0.15,1.5,39,87.79,11.700000000000001,994,N/A
2019,1,10,8,30,92,260,159,63,643,229,3,10.4,0.15,1.5,39,78.68,14,995,N/A
2019,1,10,9,30,77,795,395,77,795,395,0,10.600000000000001,0.15,0.7000000000000001,154,69.58,16.2,995,N/A
2019,1,10,10,30,83,866,517,83,866,517,0,9.600000000000001,0.15,0.9,255,58.06,18,994,N/A
2019,1,10,11,30,88,889,580,88,889,580,0,8.6,0.15,1.9000000000000001,236,51,19,993,N/A
2019,1,10,12,30,90,886,581,90,886,581,0,8.4,0.15,2.7,234,50.050000000000004,19.1,992,N/A
2019,1,10,13,30,87,855,517,87,855,517,0,8.6,0.15,3.1,237,51.77,18.7,992,N/A
